DDS_TRADETIME,DDSSWAPS_TRADETIME,ISIN,PRICE,DKSW30,DKSW10,DKSW5,DKSW2,FUT_BUND,FUT_BOBL,FUT_SCHATZ
2020-08-28 13:21:12,2020-08-28 13:21:12,"DK0009397739",99.14997,0.272781,0.07772,-0.126411,-0.148665,175.684477,134.69649,112.026714
2020-08-27 08:22:44,2020-08-27 08:22:44,"DK0009922320",188.048782,0.212699,0.040149,-0.135017,-0.153061,176.154667,134.766489,112.026714
2020-08-27 08:43:24,2020-08-27 08:43:24,"DK0009522815",99.975,0.213596,0.04101,-0.13464,-0.150743,176.174669,134.766489,112.026714
2020-08-27 08:51:17,2020-08-27 08:51:17,"DK0009513152",102.625,0.213442,0.041136,-0.134674,-0.150164,176.224669,134.756489,112.036713
2020-08-27 09:16:41,2020-08-27 09:16:41,"DK0009522146",100.360001,0.211555,0.039048,-0.137009,-0.152312,176.284668,134.78649,112.036713
2020-08-27 09:18:03,2020-08-27 09:18:03,"DK0009521254",102.224971,0.210343,0.037763,-0.137212,-0.15211,176.274669,134.78649,112.036713
2020-08-27 09:21:30,2020-08-27 09:21:30,"DK0009512857",100.416416,0.207165,0.035442,-0.13945,-0.15273,176.294668,134.78649,112.036713
2020-08-27 09:23:57,2020-08-27 09:23:57,"DK0004612884",99.249973,0.208056,0.036049,-0.140003,-0.152894,176.274669,134.79649,112.036713
2020-08-27 09:26:33,2020-08-27 09:26:33,"DK0004612454",99.975,0.20804,0.036176,-0.139982,-0.152318,176.284668,134.79649,112.026714
2020-08-27 09:32:19,2020-08-27 09:32:19,"DK0009524431",99.249972,0.205646,0.033787,-0.141258,-0.153652,176.284668,134.78649,112.036713
2020-08-27 09:33:21,2020-08-27 09:33:21,"DK0009798647",103.85,0.205555,0.033863,-0.141031,-0.15371,176.294668,134.78649,112.026714
2020-08-27 09:40:16,2020-08-27 09:40:16,"DK0004605755",100.240005,0.207601,0.035805,-0.139864,-0.153363,176.244668,134.766489,112.036713
2020-08-27 09:43:59,2020-08-27 09:43:59,"DK0009397739",99.374972,0.206026,0.034401,-0.141135,-0.152717,176.254667,134.79649,112.036713
2020-08-27 09:46:30,2020-08-27 09:46:30,"DK0002041532",100.360001,0.203608,0.031942,-0.144298,-0.153968,176.314668,134.806489,112.036713
2020-08-27 09:49:29,2020-08-27 09:49:29,"DK0009397499",100.270004,0.203581,0.031835,-0.14434,-0.153421,176.344668,134.826489,112.026714
2020-08-27 09:52:59,2020-08-27 09:52:59,"DK0002041532",100.360001,0.204202,0.033557,-0.141771,-0.153561,176.344668,134.806489,112.026714
2020-08-27 09:56:20,2020-08-27 09:56:20,"DK0009525081",96.850013,0.204359,0.035555,-0.140719,-0.153354,176.344668,134.79649,112.026714
2020-08-27 09:59:59,2020-08-27 09:59:59,"DK0004615630",100.700005,0.204495,0.036459,-0.141218,-0.153418,176.354667,134.79649,112.036713
2020-08-27 10:00:28,2020-08-27 10:00:28,"DK0002041532",100.360001,0.204408,0.035732,-0.142479,-0.154049,176.344668,134.79649,112.026714
2020-08-27 10:00:51,2020-08-27 10:00:51,"DK0009522302",100.135945,0.20547,0.036499,-0.140524,-0.153136,176.344668,134.79649,112.026714
